CROP TYPE,SOIL TYPE,REGION,WEATHER CONDITION,TEMP_MIN,TEMP_MAX,WATER REQUIREMENT
POTATO,DRY,DESERT,NORMAL,10,20,8.5
POTATO,DRY,DESERT,SUNNY,10,20,10.0
POTATO,DRY,DESERT,WINDY,10,20,9.5
POTATO,DRY,DESERT,RAINY,10,20,0.5
POTATO,DRY,DESERT,NORMAL,20,30,9.5
POTATO,DRY,DESERT,SUNNY,20,30,11.0
POTATO,DRY,DESERT,WINDY,20,30,10.5
POTATO,DRY,DESERT,RAINY,20,30,1.5
POTATO,DRY,DESERT,NORMAL,30,40,10.7
POTATO,DRY,DESERT,SUNNY,30,40,12.2
POTATO,DRY,DESERT,WINDY,30,40,11.7
POTATO,DRY,DESERT,RAINY,30,40,2.7
POTATO,DRY,DESERT,NORMAL,40,50,11.6
POTATO,DRY,DESERT,SUNNY,40,50,13.1
POTATO,DRY,DESERT,WINDY,40,50,12.6
POTATO,DRY,DESERT,RAINY,40,50,3.6
POTATO,DRY,SEMI ARID,NORMAL,10,20,7.8
POTATO,DRY,SEMI ARID,SUNNY,10,20,9.3
POTATO,DRY,SEMI ARID,WINDY,10,20,8.8
POTATO,DRY,SEMI ARID,RAINY,10,20,0.8
POTATO,DRY,SEMI ARID,NORMAL,20,30,8.8
POTATO,DRY,SEMI ARID,SUNNY,20,30,10.3
POTATO,DRY,SEMI ARID,WINDY,20,30,9.8
POTATO,DRY,SEMI ARID,RAINY,20,30,0.8
POTATO,DRY,SEMI ARID,NORMAL,30,40,9.8
POTATO,DRY,SEMI ARID,SUNNY,30,40,11.3
POTATO,DRY,SEMI ARID,WINDY,30,40,10.8
POTATO,DRY,SEMI ARID,RAINY,30,40,1.8
POTATO,DRY,SEMI ARID,NORMAL,40,50,10.9
POTATO,DRY,SEMI ARID,SUNNY,40,50,12.4
POTATO,DRY,SEMI ARID,WINDY,40,50,11.8
POTATO,DRY,SEMI ARID,RAINY,40,50,2.9
POTATO,DRY,SEMI HUMID,NORMAL,10,20,6.75
POTATO,DRY,SEMI HUMID,SUNNY,10,20,8.25
POTATO,DRY,SEMI HUMID,WINDY,10,20,7.75
POTATO,DRY,SEMI HUMID,RAINY,10,20,0.25
POTATO,DRY,SEMI HUMID,NORMAL,20,30,7.75
POTATO,DRY,SEMI HUMID,SUNNY,20,30,9.25
POTATO,DRY,SEMI HUMID,WINDY,20,30,8.75
POTATO,DRY,SEMI HUMID,RAINY,20,30,0.8
POTATO,DRY,SEMI HUMID,NORMAL,30,40,8.8
POTATO,DRY,SEMI HUMID,SUNNY,30,40,10.3
POTATO,DRY,SEMI HUMID,WINDY,30,40,9.8
POTATO,DRY,SEMI HUMID,RAINY,30,40,0.8
POTATO,DRY,SEMI HUMID,NORMAL,40,50,9.75
POTATO,DRY,SEMI HUMID,SUNNY,40,50,11.25
POTATO,DRY,SEMI HUMID,WINDY,40,50,10.75
POTATO,DRY,SEMI HUMID,RAINY,40,50,1.75
POTATO,DRY,HUMID,NORMAL,10,20,5.45
POTATO,DRY,HUMID,SUNNY,10,20,6.95
POTATO,DRY,HUMID,WINDY,10,20,6.45
POTATO,DRY,HUMID,RAINY,10,20,0.3
POTATO,DRY,HUMID,NORMAL,20,30,6.5
POTATO,DRY,HUMID,SUNNY,20,30,8.0
POTATO,DRY,HUMID,WINDY,20,30,7.5
POTATO,DRY,HUMID,RAINY,20,30,0.5
POTATO,DRY,HUMID,NORMAL,30,40,7.6
POTATO,DRY,HUMID,SUNNY,30,40,9.1
POTATO,DRY,HUMID,WINDY,30,40,8.6
POTATO,DRY,HUMID,RAINY,30,40,0.8
POTATO,DRY,HUMID,NORMAL,40,50,8.5
POTATO,DRY,HUMID,SUNNY,40,50,10.0
POTATO,DRY,HUMID,WINDY,40,50,9.5
POTATO,DRY,HUMID,RAINY,40,50,0.5
POTATO,HUMID,DESERT,NORMAL,10,20,6.7
POTATO,HUMID,DESERT,SUNNY,10,20,8.2
POTATO,HUMID,DESERT,WINDY,10,20,7.7
POTATO,HUMID,DESERT,RAINY,10,20,0.5
POTATO,HUMID,DESERT,NORMAL,20,30,7.7
POTATO,HUMID,DESERT,SUNNY,20,30,9.2
POTATO,HUMID,DESERT,WINDY,20,30,8.7
POTATO,HUMID,DESERT,RAINY,20,30,0.8
POTATO,HUMID,DESERT,NORMAL,30,40,8.7
POTATO,HUMID,DESERT,SUNNY,30,40,10.2
POTATO,HUMID,DESERT,WINDY,30,40,9.7
POTATO,HUMID,DESERT,RAINY,30,40,0.7
POTATO,HUMID,DESERT,NORMAL,40,50,9.5
POTATO,HUMID,DESERT,SUNNY,40,50,11.0
POTATO,HUMID,DESERT,WINDY,40,50,10.5
POTATO,HUMID,DESERT,RAINY,40,50,1.5
POTATO,HUMID,SEMI ARID,NORMAL,10,20,5.62
POTATO,HUMID,SEMI ARID,SUNNY,10,20,7.12
POTATO,HUMID,SEMI ARID,WINDY,10,20,6.62
POTATO,HUMID,SEMI ARID,RAINY,10,20,0.3
POTATO,HUMID,SEMI ARID,NORMAL,20,30,6.62
POTATO,HUMID,SEMI ARID,SUNNY,20,30,8.12
POTATO,HUMID,SEMI ARID,WINDY,20,30,7.62
POTATO,HUMID,SEMI ARID,RAINY,20,30,0.5
POTATO,HUMID,SEMI ARID,NORMAL,30,40,7.7
POTATO,HUMID,SEMI ARID,SUNNY,30,40,9.2
POTATO,HUMID,SEMI ARID,WINDY,30,40,8.7
POTATO,HUMID,SEMI ARID,RAINY,30,40,0.8
POTATO,HUMID,SEMI ARID,NORMAL,40,50,8.6
POTATO,HUMID,SEMI ARID,SUNNY,40,50,10.1
POTATO,HUMID,SEMI ARID,WINDY,40,50,9.6
POTATO,HUMID,SEMI ARID,RAINY,40,50,2.1
POTATO,HUMID,SEMI HUMID,NORMAL,10,20,4.6
POTATO,HUMID,SEMI HUMID,SUNNY,10,20,6.1
POTATO,HUMID,SEMI HUMID,WINDY,10,20,5.6
POTATO,HUMID,SEMI HUMID,RAINY,10,20,0.2
POTATO,HUMID,SEMI HUMID,NORMAL,20,30,5.5
POTATO,HUMID,SEMI HUMID,SUNNY,20,30,7.0
POTATO,HUMID,SEMI HUMID,WINDY,20,30,6.5
POTATO,HUMID,SEMI HUMID,RAINY,20,30,0.3
